date,DE SH  Schleswig-Holstein,DE HH  Hamburg,DE NI  Lower Saxony,DE HB  Bremen,DE NW  North Rhine Westphalia,DE HE  Hesse,DE RP  Rhineland Palatinate,DE BW  Baden Württemberg,DE BY  Bavaria,DE SL  Saarland,DE BB  Brandenburg,DE MV  Mecklenburg-Vorpommern,DE SN  Saxony,DE ST  Saxony Anhalt,DE TH  Thuringia,DE BE  Berlin,sum_cases
02/03/2020,5,2,4,2,112,9,2,33,31,0,3,0,1,0,0,0,204
03/03/2020,6,4,10,4,143,13,3,54,37,0,3,2,1,0,1,5,286
04/03/2020,6,7,14,4,234,15,7,92,47,0,3,4,1,0,1,8,443
05/03/2020,7,13,20,4,329,21,8,129,69,0,4,5,1,0,1,20,631
06/03/2020,9,16,27,4,391,22,10,179,118,0,4,5,3,0,1,25,814
07/03/2020,9,19,35,4,459,26,12,211,135,0,4,5,3,0,2,26,950
08/03/2020,10,24,39,4,485,26,15,228,154,1,8,7,8,0,2,37,1048
09/03/2020,13,44,55,11,581,46,21,279,238,6,12,11,13,0,2,59,1391
10/03/2020,20,70,90,22,755,62,38,397,339,8,21,12,33,6,11,92,1976
11/03/2020,39,99,147,33,956,99,68,544,451,18,29,20,49,21,12,134,2719
12/03/2020,57,141,215,40,1239,136,131,726,580,33,54,29,78,35,23,181,3698
13/03/2020,84,174,299,49,1655,215,189,1037,826,49,76,38,111,46,33,242,5123
14/03/2020,108,249,364,52,1972,300,240,1367,1057,62,90,39,141,48,51,271,6411
15/03/2020,129,322,419,55,2215,325,335,1550,1213,79,112,40,168,48,52,297,7359
16/03/2020,158,394,573,56,2825,451,453,1982,1477,102,138,54,210,83,70,360,9386
17/03/2020,205,527,746,68,3732,620,620,2581,1938,122,205,85,290,112,101,454,12406
18/03/2020,259,656,1019,78,4452,843,776,3371,2638,161,261,128,413,150,138,598,15941
19/03/2020,319,849,1267,118,5589,1046,910,4029,3417,201,318,162,560,192,192,776,19945
20/03/2020,398,987,1535,142,6467,1264,1088,4870,4322,234,383,178,698,243,268,944,24021
21/03/2020,446,1097,1713,164,7165,1399,1203,5428,5387,273,408,189,816,260,306,1071,27325
22/03/2020,480,1245,1821,168,7600,1459,1345,5972,5995,320,430,190,865,274,333,1139,29636
23/03/2020,574,1371,2062,180,8480,1738,1541,6615,6674,379,481,203,984,340,385,1297,33304
24/03/2020,675,1547,2362,199,9282,1973,1747,7797,7815,411,536,240,1138,402,457,1497,38078
25/03/2020,762,1687,2741,210,10321,2219,1919,8979,9436,459,630,264,1319,453,536,1745,43680
26/03/2020,858,1832,3112,241,11372,2519,2135,10181,11071,530,703,288,1490,508,611,2029,49480
27/03/2020,974,1971,3517,261,12468,2825,2407,11425,12842,591,782,330,1676,586,684,2232,55571
28/03/2020,1058,2115,3865,286,13224,3012,2571,12446,14301,661,826,351,1837,628,752,2427,60360
29/03/2020,1101,2223,4041,287,13861,3151,2714,13109,15163,738,854,362,1908,647,772,2515,63446
30/03/2020,1178,2295,4348,295,14642,3337,2857,14013,16171,807,947,375,2043,719,807,2682,67516
31/03/2020,1285,2445,4703,312,15698,3591,3058,15241,17947,934,1075,425,2224,774,886,2895,73493
01/04/2020,1395,2572,5069,328,16862,3923,3312,16481,19906,1059,1147,448,2411,810,945,3082,79750
02/04/2020,1502,2739,5405,339,18071,4191,3503,17883,21858,1238,1269,477,2634,855,1030,3316,86310
03/04/2020,1614,2893,5795,372,19126,4439,3718,19157,23829,1309,1405,508,2881,899,1100,3555,92600
04/04/2020,1684,3002,6021,387,19808,4665,3858,19987,25260,1450,1445,523,3020,933,1150,3662,96855
05/04/2020,1720,3107,6162,390,20312,4756,3964,20483,25954,1542,1471,525,3087,975,1190,3739,99377
06/04/2020,1781,3209,6393,395,21197,4895,4102,21043,27086,1621,1545,529,3167,1001,1217,3883,103064
07/04/2020,1890,3397,6767,431,22119,5151,4284,21945,28596,1699,1651,565,3308,1046,1291,4086,108226
08/04/2020,1977,3503,7103,437,23176,5455,4459,22872,30159,1851,1767,573,3466,1094,1356,4262,113510
