"date","DE-SH - Schleswig-Holstein","DE-HH - Hamburg","DE-NI - Lower Saxony","DE-HB - Bremen","DE-NW - North Rhine-Westphalia","DE-HE - Hesse","DE-RP - Rhineland-Palatinate","DE-BW - Baden-Württemberg","DE-BY - Bavaria","DE-SL - Saarland","DE-BB - Brandenburg","DE-MV - Mecklenburg-Vorpommern","DE-SN - Saxony","DE-ST - Saxony-Anhalt","DE-TH - Thuringia","DE-BE - Berlin","sum_deaths"
"02/03/2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/03/2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04/03/2020","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","2"
"05/03/2020","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","3"
"06/03/2020","0","1","0","0","2","0","0","3","1","0","0","0","0","0","0","0","7"
"07/03/2020","0","1","0","0","5","0","0","4","1","0","0","0","0","0","0","0","11"
"08/03/2020","0","1","0","0","5","0","0","4","1","0","0","0","0","0","0","0","11"
"09/03/2020","0","1","0","0","9","0","0","5","1","0","0","0","0","0","0","0","16"
"10/03/2020","0","1","1","0","9","0","0","5","4","0","0","0","0","0","0","0","20"
"11/03/2020","0","1","1","0","10","0","0","10","5","0","0","0","0","0","0","0","27"
"12/03/2020","1","2","2","0","12","0","0","14","7","0","0","0","0","0","0","0","38"
"13/03/2020","1","3","2","0","18","0","0","17","10","0","0","0","1","0","0","0","52"
"14/03/2020","1","4","2","0","20","1","0","25","15","0","0","0","2","0","0","0","70"
"15/03/2020","1","4","2","0","25","1","1","28","18","0","0","0","2","0","0","0","82"
"16/03/2020","1","4","2","0","35","2","2","39","24","1","0","0","2","0","0","0","112"
"17/03/2020","2","5","3","1","48","3","3","51","33","1","0","0","2","0","0","0","152"
"18/03/2020","6","5","8","1","66","4","4","67","44","2","0","0","2","0","0","2","211"
"19/03/2020","6","6","10","1","85","5","8","86","52","2","1","0","3","0","0","3","268"
"20/03/2020","7","7","17","1","103","9","9","115","79","2","2","0","5","1","0","5","362"
"21/03/2020","10","8","21","1","119","12","10","131","115","3","2","0","6","2","2","7","449"
"22/03/2020","13","10","21","1","135","13","14","149","137","3","2","0","7","4","3","7","519"
"23/03/2020","16","10","24","1","156","17","14","174","175","6","2","0","10","7","4","11","627"
"24/03/2020","20","13","28","2","177","25","18","216","216","9","2","1","16","11","7","16","777"
"25/03/2020","24","19","44","2","210","29","23","257","260","11","5","2","23","14","10","18","951"
"26/03/2020","27","23","54","4","247","41","27","322","342","12","5","2","27","16","12","22","1183"
"27/03/2020","29","31","90","5","288","54","33","363","415","15","10","3","33","19","16","26","1430"
"28/03/2020","30","40","116","5","323","61","39","416","488","17","10","5","35","19","17","29","1650"
"29/03/2020","32","41","131","5","359","67","42","444","528","22","10","5","36","19","18","32","1791"
"30/03/2020","36","43","148","7","394","76","48","498","592","26","20","5","42","25","19","35","2014"
"31/03/2020","39","49","162","8","446","87","58","568","686","38","27","7","58","25","22","38","2318"
"01/04/2020","45","54","179","9","518","110","67","647","776","42","31","10","61","25","24","45","2643"
"02/04/2020","49","65","195","10","571","130","68","727","877","56","39","13","76","26","27","51","2980"
"03/04/2020","55","82","220","15","629","138","82","786","950","58","51","13","90","27","30","63","3289"
"04/04/2020","56","88","238","16","660","154","86","824","1007","69","53","13","96","27","33","64","3484"
"05/04/2020","56","91","245","16","702","158","87","850","1041","76","55","13","99","27","37","68","3621"
"06/04/2020","58","96","262","16","764","174","96","891","1096","82","59","13","103","28","39","75","3852"
"07/04/2020","64","107","281","18","804","189","106","929","1160","85","64","15","107","30","43","88","4090"
"08/04/2020","67","113","302","18","865","205","115","986","1231","94","65","15","112","30","43","93","4354"
"09/04/2020","71","116","314","20","902","226","122","1034","1295","98","70","15","117","32","48","99","4579"
"10/04/2020","72","117","324","21","923","236","126","1060","1334","104","71","16","123","33","53","104","4717"
"11/04/2020","74","117","329","22","946","245","129","1085","1377","104","75","16","127","33","56","104","4839"
"12/04/2020","74","123","339","22","966","253","131","1111","1401","104","78","16","127","34","61","104","4944"
"13/04/2020","83","128","346","25","981","261","134","1134","1435","105","78","16","130","34","62","107","5059"
"14/04/2020","84","132","356","25","1014","272","139","1152","1476","107","80","16","133","34","64","108","5192"
"15/04/2020","87","135","365","25","1039","280","141","1180","1504","110","85","16","135","34","67","110","5313"
"16/04/2020","89","139","371","25","1057","292","144","1198","1537","113","86","16","138","34","68","112","5419"
"17/04/2020","89","140","374","26","1075","297","147","1212","1564","114","86","16","140","34","69","115","5498"
"18/04/2020","91","140","376","26","1085","303","149","1222","1574","114","89","16","140","35","71","116","5547"
"19/04/2020","91","140","377","26","1099","309","149","1228","1582","114","90","16","140","35","71","117","5584"
"20/04/2020","92","140","383","26","1115","309","150","1232","1595","115","95","16","143","35","73","117","5636"
"21/04/2020","94","141","385","27","1121","312","151","1239","1608","117","97","16","145","35","74","118","5680"
"22/04/2020","96","141","388","27","1128","315","152","1240","1615","120","97","16","145","35","74","122","5711"
"23/04/2020","97","142","389","27","1130","317","152","1245","1618","120","99","16","145","35","74","123","5729"
"24/04/2020","97","142","391","27","1131","320","152","1248","1619","121","100","16","147","36","74","125","5746"
"25/04/2020","98","142","391","27","1131","320","152","1249","1621","121","100","16","147","36","74","125","5750"
