date,sum_deaths
2020/02/29 00:00:00+00,0
2020/03/01 00:00:00+00,0
2020/03/02 00:00:00+00,0
2020/03/03 00:00:00+00,0
2020/03/04 00:00:00+00,0
2020/03/05 00:00:00+00,0
2020/03/06 00:00:00+00,0
2020/03/07 00:00:00+00,0
2020/03/08 00:00:00+00,0
2020/03/09 00:00:00+00,0
2020/03/10 00:00:00+00,0
2020/03/11 00:00:00+00,1
2020/03/12 00:00:00+00,1
2020/03/13 00:00:00+00,1
2020/03/14 00:00:00+00,2
2020/03/15 00:00:00+00,2
2020/03/16 00:00:00+00,2
2020/03/17 00:00:00+00,2
2020/03/18 00:00:00+00,2
2020/03/19 00:00:00+00,3
2020/03/20 00:00:00+00,3
2020/03/21 00:00:00+00,3
2020/03/22 00:00:00+00,4
2020/03/23 00:00:00+00,6
2020/03/24 00:00:00+00,7
2020/03/25 00:00:00+00,9
2020/03/26 00:00:00+00,19
2020/03/27 00:00:00+00,22
2020/03/28 00:00:00+00,36
2020/03/29 00:00:00+00,46
2020/03/30 00:00:00+00,54
2020/03/31 00:00:00+00,71
2020/04/01 00:00:00+00,85
2020/04/02 00:00:00+00,98
2020/04/03 00:00:00+00,120
2020/04/04 00:00:00+00,137
2020/04/05 00:00:00+00,158
2020/04/06 00:00:00+00,174
2020/04/07 00:00:00+00,210
2020/04/08 00:00:00+00,235
2020/04/09 00:00:00+00,263
2020/04/10 00:00:00+00,287
2020/04/11 00:00:00+00,320
2020/04/12 00:00:00+00,334
2020/04/13 00:00:00+00,365
2020/04/14 00:00:00+00,406
2020/04/15 00:00:00+00,444
2020/04/16 00:00:00+00,486
2020/04/17 00:00:00+00,530
2020/04/18 00:00:00+00,571
2020/04/19 00:00:00+00,610
2020/04/20 00:00:00+00,687
2020/04/21 00:00:00+00,730
2020/04/22 00:00:00+00,769
2020/04/23 00:00:00+00,794
2020/04/24 00:00:00+00,1014
2020/04/25 00:00:00+00,1063
2020/04/26 00:00:00+00,1087
2020/04/27 00:00:00+00,1102
2020/04/28 00:00:00+00,1159
2020/04/29 00:00:00+00,1190
2020/04/30 00:00:00+00,1232
2020/05/01 00:00:00+00,1265
2020/05/02 00:00:00+00,1286
2020/05/03 00:00:00+00,1303
2020/05/04 00:00:00+00,1319
2020/05/05 00:00:00+00,1339
2020/05/06 00:00:00+00,1375
2020/05/07 00:00:00+00,1403
2020/05/08 00:00:00+00,1429
2020/05/09 00:00:00+00,1446
2020/05/10 00:00:00+00,1458
2020/05/11 00:00:00+00,1467
2020/05/12 00:00:00+00,1488
2020/05/13 00:00:00+00,1497
2020/05/14 00:00:00+00,1506
2020/05/15 00:00:00+00,1518
2020/05/16 00:00:00+00,1533
2020/05/17 00:00:00+00,1543
2020/05/18 00:00:00+00,1547
2020/05/19 00:00:00+00,1561
2020/05/20 00:00:00+00,1571
2020/05/21 00:00:00+00,1583
2020/05/22 00:00:00+00,1592
