date,sum_deaths
2/24/2020,7
2/25/2020,10
2/26/2020,12
2/27/2020,17
2/28/2020,21
2/29/2020,29
3/1/2020,34
3/2/2020,52
3/3/2020,79
3/4/2020,107
3/5/2020,148
3/6/2020,197
3/7/2020,233
3/8/2020,366
3/9/2020,463
3/10/2020,631
3/11/2020,827
3/12/2020,1016
3/13/2020,1266
3/14/2020,1441
3/15/2020,1809
3/16/2020,2158
3/17/2020,2503
3/18/2020,2978
3/19/2020,3405
3/20/2020,4032
3/21/2020,4825
3/22/2020,5476
3/23/2020,6077
3/24/2020,6820
3/25/2020,7503
3/26/2020,8165
3/27/2020,9134
3/28/2020,10023
3/29/2020,10779
3/30/2020,11591
3/31/2020,12428
4/1/2020,13155
4/2/2020,13915
4/3/2020,14681
4/4/2020,15362
4/5/2020,15887
4/6/2020,16523
4/7/2020,17127
4/8/2020,17669
4/9/2020,18279
4/10/2020,18849
4/11/2020,19468
4/12/2020,19899
4/13/2020,20465
4/14/2020,21067
4/15/2020,21645
4/16/2020,22170
4/17/2020,22745
4/18/2020,23227
4/19/2020,23660
4/20/2020,24114
4/21/2020,24648
4/22/2020,25085
4/23/2020,25549
4/24/2020,25969
