date,sum_cases
1/31/2020,2
2/1/2020,2
2/2/2020,2
2/3/2020,2
2/4/2020,2
2/5/2020,2
2/6/2020,2
2/7/2020,3
2/8/2020,3
2/9/2020,4
2/10/2020,4
2/11/2020,8
2/12/2020,8
2/13/2020,9
2/14/2020,9
2/15/2020,9
2/16/2020,9
2/17/2020,9
2/18/2020,9
2/19/2020,9
2/20/2020,9
2/21/2020,9
2/22/2020,9
2/23/2020,9
2/24/2020,13
2/25/2020,13
2/26/2020,13
2/27/2020,13
2/28/2020,16
2/29/2020,18
3/1/2020,23
3/2/2020,36
3/3/2020,40
3/4/2020,51
3/5/2020,85
3/6/2020,115
3/7/2020,163
3/8/2020,206
3/9/2020,273
3/10/2020,321
3/11/2020,373
3/12/2020,456
3/13/2020,590
3/14/2020,707
3/15/2020,1140
3/16/2020,1391
3/17/2020,1543
3/18/2020,1950
3/19/2020,2630
3/20/2020,3277
3/21/2020,3983
3/22/2020,5018
3/23/2020,5683
3/24/2020,6650
3/25/2020,8077
3/26/2020,9529
3/27/2020,11658
3/28/2020,14543
3/29/2020,17089
3/30/2020,19522
3/31/2020,22141
4/1/2020,25150
4/2/2020,29474
4/3/2020,33718
4/4/2020,38168
4/5/2020,41903
4/6/2020,47806
4/7/2020,51608
4/8/2020,55242
4/9/2020,60733
4/10/2020,65077
4/11/2020,70272
4/12/2020,78991
4/13/2020,84279
4/14/2020,88621
4/15/2020,93873
4/16/2020,98476
4/17/2020,103093
4/18/2020,108692
4/19/2020,114217
4/20/2020,120067
4/21/2020,124743
4/22/2020,129044
