date,sum_deaths
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,1
3/7/2020,1
3/8/2020,2
3/9/2020,3
3/10/2020,5
3/11/2020,6
3/12/2020,6
3/13/2020,10
3/14/2020,10
3/15/2020,21
3/16/2020,35
3/17/2020,55
3/18/2020,60
3/19/2020,103
3/20/2020,144
3/21/2020,177
3/22/2020,233
3/23/2020,281
3/24/2020,335
3/25/2020,422
3/26/2020,463
3/27/2020,578
3/28/2020,759
3/29/2020,1019
3/30/2020,1228
3/31/2020,1408
4/1/2020,1789
4/2/2020,2532
4/3/2020,2921
4/4/2020,3605
4/5/2020,4313
4/6/2020,4934
4/7/2020,5373
4/8/2020,6159
4/9/2020,7097
4/10/2020,7978
4/11/2020,8958
4/12/2020,9875
4/13/2020,10612
4/14/2020,11329
4/15/2020,12107
4/16/2020,12868
4/17/2020,13729
4/18/2020,14576
4/19/2020,15464
4/20/2020,16060
4/21/2020,16509
4/22/2020,17337
